Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Six Four,Hideo Yokoyama,Jonathan Lloyd-Davies (Translator),9781848665286,paperback,"","","","","","","","","","","","","","","","","",Yes
The Cut,Chris Brookmyre,"",9780349143842,paperback,"","","","","","","","","","","","","","","","","",Yes
The Blade Itself,Joe Abercrombie,"",9780575079793,paperback,"","","","","","","","","","","","","","","","","",Yes
Lud-in-the-Mist,Hope Mirrlees,"",9781473225565,paperback,"","","","","","","","","","","","","","","","","",Yes
Hyperion,Dan Simmons,"",9780575099432,paperback,"","","","","","","","","","","","","","","","","",Yes
A Clockwork Orange,Anthony Burgess,"",9780241951446,paperback,"","","","","","","","","","","","","","","","","",Yes
The Morning Star,Karl Ove Knausgård,"",9781784703301,paperback,"","","","","","","","","","","","","","","","","",Yes
One Hundred Years of Solitude,Gabriel García Márquez,Gregory Rabassa (Translator),9780241972359,paperback,"","","","","","","","","","","","","","","","","",Yes
Fleishman is in Trouble,Taffy Brodesser-Akner,"",9781472267078,paperback,"","","","","","","","","","","","","","","","","",Yes
Once Upon a Time in Hollywood,Quentin Tarantino,"",9781398706132,paperback,"","","","","","","","","","","","","","","","","",Yes
Second Foundation,Isaac Asimov,"","",paperback,"","","","","","","","","","","","","","","","","",Yes
"Beautiful World, Where Are You",Sally Rooney,"",9780571365449,paperback,"","","","","","","","","","","","","","","","","",Yes
Papillon,Henri Charrière,Patrick O'Brian (Translator),9780007179961,paperback,"","","","","","","","","","","","","","","","","",Yes
A Dance with Dragons: After the Feast,George R.R. Martin,"",9780007466078,paperback,"","","","","","","","","","","","","","","","","",Yes
To Kill a Mockingbird,Harper Lee,"",9780749301347,paperback,"","","","","","","","","","","","","","","","","",Yes
On Earth We're Briefly Gorgeous,Ocean Vuong,"",9781529110685,paperback,"","","","","","","","","","","","","","","","","",Yes
The Horologicon: A Day's Jaunt Through the Lost Words of the English Language,Mark Forsyth,"",9781848314153,hardcover,"","","","","","","","","","","","","","","","","",Yes
Black Sun,Rebecca Roanhorse,"",9781781089477,paperback,"","","","","","","","","","","","","","","","","",Yes
A Dance with Dragons: Dreams and Dust,George R.R. Martin,"",9780007466061,paperback,"","","","","","","","","","","","","","","","","",Yes
Why I'm No Longer Talking to White People About Race,Reni Eddo-Lodge,"",9781408870587,paperback,"","","","","","","","","","","","","","","","","",Yes
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner","",9780141035307,paperback,"","","","","","","","","","","","","","","","","",Yes
Jonathan Strange & Mr Norrell,Susanna Clarke,"",9781582346038,paperback,"","","","","","","","","","","","","","","","","",Yes
The Devotion of Suspect X,Keigo Higashino,Alexander O. Smith (Translator),9780349123745,paperback,"","","","","","","","","","","","","","","","","",Yes
Sir Gawain and the Green Knight,Gawain Poet,Simon Armitage,9780571223282,paperback,"","","","","","","","","","","","","","","","","",Yes
